,t,label,d
345,t344,n345,3
346,t345,n346,2
347,t346,n347,2
348,t347,n348,2
349,t348,n349,3
350,t349,n350,2
351,t350,n351,6
352,t351,n352,5
353,t352,n353,3
354,t353,n354,2
355,t354,n355,2
356,t355,n356,3
357,t356,n357,2
358,t357,n358,3
359,t358,n359,2
360,t359,n360,3
361,t360,n361,2
362,t361,n362,2
363,t362,n363,3
364,t363,n364,5
365,t364,n365,3
366,t365,n366,2
367,t366,n367,2
368,t367,n368,2
369,t368,n369,2
370,t369,n370,2
371,t370,n371,4
372,t371,n372,3
373,t372,n373,2
374,t373,n374,3
375,t374,n375,3
376,t375,n376,2
377,t376,n377,4
378,t377,n378,2
379,t378,n379,2
380,t379,n380,3
381,t380,n381,3
382,t381,n382,2
383,t382,n383,2
384,t383,n384,2
385,t384,n385,2
386,t385,n386,2
387,t386,n387,2
388,t387,n388,2
389,t388,n389,2
390,t389,n390,3
391,t390,n391,2
392,t391,n392,2
393,t392,n393,2
394,t393,n394,2
395,t394,n395,2
396,t395,n396,2
397,t396,n397,2
398,t397,n398,2
399,t398,n399,2
400,t399,n400,2
401,t400,n401,2
402,t401,n402,3
403,t402,n403,3
404,t403,n404,2
405,t404,n405,2
406,t405,n406,4
407,t406,n407,4
408,t407,n408,2
409,t408,n409,2
410,t409,n410,2
411,t410,n411,2
412,t411,n412,2
413,t412,n413,2
414,t413,n414,2
415,t414,n415,2
416,t415,n416,2
417,t416,n417,2
418,t417,n418,2
419,t418,n419,2
420,t419,n420,2
421,t420,n421,2
422,t421,n422,2
423,t422,n423,3
424,t423,n424,2
425,t424,n425,2
426,t425,n426,2
427,t426,n427,2
428,t427,n428,2
429,t428,n429,2
430,t429,n430,2
431,t430,n431,2
432,t431,n432,5
433,t432,n433,2
434,t433,n434,2
435,t434,n435,3
436,t435,n436,2
437,t436,n437,2
438,t437,n438,2
439,t438,n439,2
440,t439,n440,2
441,t440,n441,2
442,t441,n442,2
443,t442,n443,2
444,t443,n444,2
445,t444,n445,2
446,t445,n446,3
447,t446,n447,2
448,t447,n448,2
449,t448,n449,2
450,t449,n450,2
451,t450,n451,3
452,t451,n452,2
453,t452,n453,2
454,t453,n454,3
455,t454,n455,2
456,t455,n456,2
457,t456,n457,2
458,t457,n458,2
459,t458,n459,2
460,t459,n460,2
461,t460,n461,2
462,t461,n462,2
463,t462,n463,2
464,t463,n464,2
465,t464,n465,2
466,t465,n466,2
467,t466,n467,2
468,t467,n468,2
469,t468,n469,2
470,t469,n470,2
471,t470,n471,2
472,t471,n472,2
473,t472,n473,2
474,t473,n474,2
475,t474,n475,2
476,t475,n476,2
477,t476,n477,2
478,t477,n478,2
479,t478,n479,2
480,t479,n480,2
481,t480,n481,2
482,t481,n482,2
483,t482,n483,2
484,t483,n484,2
485,t484,n485,2
486,t485,n486,2
487,t486,n487,2
488,t487,n488,2
489,t488,n489,2
490,t489,n490,2
491,t490,n491,2
492,t491,n492,2
493,t492,n493,2
494,t493,n494,2
495,t494,n495,2
496,t495,n496,2
497,t496,n497,2
498,t497,n498,2
499,t498,n499,2
500,t499,n500,2
